,2026학년도 1차 도서관 보관 도서구입 신청 목록(장량초등학교),,,,,,
순서,도서명,저자,출판사,정가,수량,금액,비고
1,브로큰 컨트리,클레어 레슬리 홀,북로망스,"19,500",1,"19,500",성인용
2,자몽살구클럽,한로로,어센틱,"12,000",1,"12,000",
3,삼체1부,류츠신,자음과모음,"17,000",1,"17,000",
4,지방소멸,마스다 히로야,와이즈베리,"22,000",1,"22,000",
5,쾌적한 사회의 불쾌함,구마시로 도루,생각지도,"21,000",1,"21,000",
6,아르테미스,앤디 위어,알에이치코리아,"19,800",1,"19,800",
7,최소한의 한국사,최태성 ,프런트페이지,"19,800",1,"19,800",
8,국경없는 미술실,아이보리얀 신경아,차츰,"19,800",1,"19,800",
9,혼모노,성해나,창비,"18,000",1,"18,000",
10,정의란 무엇인가,마이클 샌델,미래앤,"18,000",1,"36,000",
11,흩어짐,제시카 j 리,에트르,"21,500",1,"21,500",
12,법의학자 유성호의 유언노트,유성호,21세기북스,"19,900",1,"19,900",
13,수양대군,김동인,새움,"17,700",1,"17,700",
14,당신의 남자를 죽여드립니다,엘 코시마노,인플루엔셜,"16,800",1,"16,800",
15,괴테는 모는 것을 말했다,스즈키 유이,리프,"17,000",1,"17,000",
16,불안세대,조너선 하이트,웅진지식하우스,"24,800",1,"24,800",
17,전망좋은방,에드워드모건포스터,열린책들,"13,800",1,"13,800",
18,양면의 조개껍데기,김초엽,래빗홀,"17,500",1,"17,500",
19,초등그림책수업 365,그림책사랑교사모임,케렌시아,"23,400",1,"23,400",
20,"모든 것은 영원했다, 사라지기 전까지는",알렉세이 유르착,문학과지성사,"32,000",1,"32,000",
21,,,종합출판범우,,,,
22,동트기 힘든 긴 밤,쯔진천,한스미디어,"14,800",1,"14,800",
23,안녕이라 그랬어,김애란,문학동네,"16,800",1,"16,800",
24,프로젝트 헤일메리,앤디위어,알에이치코리아,"22,000",1,"22,000",
25,신은 디테일에 있다,한근태,올림,"17,000",1,"17,000",
26,상실의 시대,무라카미 하루키,문학사상,"15,000",1,"15,000",
27,도시와 그 불확실한 벽,무라카미 하루키,문학동네,"19,500",1,"19,500",
28,감정의 혼란,슈테판 츠바이크,문학동네,"19,000",1,"19,000",
29,초조한 마음,슈테판 츠바이크,문학과 지성사,"17,000",1,"17,000",
30,부처님 말씀대로 살아보니,토니 페르난도,윌마,"18,900",1,"18,900",
31,문제 행동의 암호를 풀다,제시카 미나한,교육을 바꾸는 사람들,"25,000",1,"25,000",
32,저속 성장 육아 일기,정진희,파이퍼프레스,"19,000",1,"19,000",
33,Fluent Forever (Revised Edition): How to Learn Any Language Fast and Never Forge,게이브리얼 와이너,Harmony,"28,700",1,"28,700",
34,빛과 물질에 관한 이론,앤드루 포터,문학동네,"16,500",1,"16,500",
35,안녕이라 그랬어,김애란,문학동네,"16,800",1,"16,800",
36,피아노로 연주하는 디즈니 OST 베스트 쉬운 피아노 버전,콘텐츠기획팀,삼호뮤직,"12,000",1,"12,000",
37,위버멘쉬,프리드리히 니체,떠오름,"17,800",1,"17,800",
38,아이의 떼 거부 고집을 다루다,정유진,미스터제이,"15,800",1,"15,800",
39,나는 아동학대 교사입니다,이혜영,초록펭귄,"18,000",1,"18,000",
40,폰더 씨의 위대한 하루,앤디 앤드루스,세종서적,"18,000",2,"18,000",
41,바퀴벌레 이야기,매슈 맥스웰,동아시아,"19,000",1,"19,000",
42,대도시의 사랑법,박상영,창비,"18,000",1,"18,000",
43,왜 일하는가,이나모리 가즈오,다산북스,"18,000",1,"18,000",
44,어른의 행복은 조용하다,태수,페이지2북스,"17,800",1,"17,800",
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
